Length	Assembly
3201	FlyBase_Contig
3201	FlyBase_Contig
3197	FlyBase_Contig
3196	FlyBase_Contig
3195	FlyBase_Contig
3195	FlyBase_Contig
3190	FlyBase_Contig
3185	FlyBase_Contig
3179	FlyBase_Contig
3175	FlyBase_Contig
3174	FlyBase_Contig
3173	FlyBase_Contig
3171	FlyBase_Contig
3162	FlyBase_Contig
3157	FlyBase_Contig
3156	FlyBase_Contig
3144	FlyBase_Contig
3141	FlyBase_Contig
3132	FlyBase_Contig
3129	FlyBase_Contig
3127	FlyBase_Contig
3123	FlyBase_Contig
3123	FlyBase_Contig
3120	FlyBase_Contig
3118	FlyBase_Contig
3102	FlyBase_Contig
3100	FlyBase_Contig
3100	FlyBase_Contig
3089	FlyBase_Contig
3085	FlyBase_Contig
3080	FlyBase_Contig
3079	FlyBase_Contig
3077	FlyBase_Contig
3076	FlyBase_Contig
3073	FlyBase_Contig
3073	FlyBase_Contig
3067	FlyBase_Contig
3065	FlyBase_Contig
3064	FlyBase_Contig
3059	FlyBase_Contig
3058	FlyBase_Contig
3046	FlyBase_Contig
3044	FlyBase_Contig
3043	FlyBase_Contig
3033	FlyBase_Contig
3024	FlyBase_Contig
3015	FlyBase_Contig
3013	FlyBase_Contig
3010	FlyBase_Contig
3009	FlyBase_Contig
3005	FlyBase_Contig
3004	FlyBase_Contig
2999	FlyBase_Contig
2999	FlyBase_Contig
2996	FlyBase_Contig
2996	FlyBase_Contig
2995	FlyBase_Contig
2993	FlyBase_Contig
2985	FlyBase_Contig
2984	FlyBase_Contig
2984	FlyBase_Contig
2983	FlyBase_Contig
2982	FlyBase_Contig
2982	FlyBase_Contig
2976	FlyBase_Contig
2971	FlyBase_Contig
2971	FlyBase_Contig
2964	FlyBase_Contig
2957	FlyBase_Contig
2956	FlyBase_Contig
2956	FlyBase_Contig
2947	FlyBase_Contig
2943	FlyBase_Contig
2937	FlyBase_Contig
2928	FlyBase_Contig
2927	FlyBase_Contig
2926	FlyBase_Contig
2926	FlyBase_Contig
2924	FlyBase_Contig
2922	FlyBase_Contig
2922	FlyBase_Contig
2919	FlyBase_Contig
2914	FlyBase_Contig
2911	FlyBase_Contig
2910	FlyBase_Contig
2905	FlyBase_Contig
2904	FlyBase_Contig
2904	FlyBase_Contig
2903	FlyBase_Contig
2899	FlyBase_Contig
2892	FlyBase_Contig
2889	FlyBase_Contig
2884	FlyBase_Contig
2882	FlyBase_Contig
2882	FlyBase_Contig
2882	FlyBase_Contig
2881	FlyBase_Contig
2881	FlyBase_Contig
2878	FlyBase_Contig
2877	FlyBase_Contig
2876	FlyBase_Contig
2876	FlyBase_Contig
2871	FlyBase_Contig
2871	FlyBase_Contig
2869	FlyBase_Contig
2860	FlyBase_Contig
2860	FlyBase_Contig
2859	FlyBase_Contig
2858	FlyBase_Contig
2855	FlyBase_Contig
2848	FlyBase_Contig
2847	FlyBase_Contig
2846	FlyBase_Contig
2844	FlyBase_Contig
2841	FlyBase_Contig
2836	FlyBase_Contig
2834	FlyBase_Contig
2833	FlyBase_Contig
2830	FlyBase_Contig
2829	FlyBase_Contig
2829	FlyBase_Contig
2828	FlyBase_Contig
2825	FlyBase_Contig
2823	FlyBase_Contig
2822	FlyBase_Contig
2822	FlyBase_Contig
2820	FlyBase_Contig
2819	FlyBase_Contig
2815	FlyBase_Contig
2814	FlyBase_Contig
2811	FlyBase_Contig
2806	FlyBase_Contig
2806	FlyBase_Contig
2804	FlyBase_Contig
2804	FlyBase_Contig
2799	FlyBase_Contig
2796	FlyBase_Contig
2795	FlyBase_Contig
2795	FlyBase_Contig
2794	FlyBase_Contig
2793	FlyBase_Contig
2791	FlyBase_Contig
2790	FlyBase_Contig
2787	FlyBase_Contig
2784	FlyBase_Contig
2783	FlyBase_Contig
2781	FlyBase_Contig
2765	FlyBase_Contig
2762	FlyBase_Contig
2751	FlyBase_Contig
2750	FlyBase_Contig
