Length	Assembly
5555	FlyBase_Scaffold
5520	FlyBase_Scaffold
5465	FlyBase_Scaffold
5463	FlyBase_Scaffold
5387	FlyBase_Scaffold
5383	FlyBase_Scaffold
5360	FlyBase_Scaffold
5324	FlyBase_Scaffold
5323	FlyBase_Scaffold
5316	FlyBase_Scaffold
5281	FlyBase_Scaffold
5232	FlyBase_Scaffold
5189	FlyBase_Scaffold
5182	FlyBase_Scaffold
5098	FlyBase_Scaffold
5061	FlyBase_Scaffold
5060	FlyBase_Scaffold
5057	FlyBase_Scaffold
5026	FlyBase_Scaffold
5000	FlyBase_Scaffold
4996	FlyBase_Scaffold
4994	FlyBase_Scaffold
4986	FlyBase_Scaffold
4967	FlyBase_Scaffold
4939	FlyBase_Scaffold
4933	FlyBase_Scaffold
4917	FlyBase_Scaffold
4903	FlyBase_Scaffold
4888	FlyBase_Scaffold
4879	FlyBase_Scaffold
4865	FlyBase_Scaffold
4820	FlyBase_Scaffold
4815	FlyBase_Scaffold
4785	FlyBase_Scaffold
4705	FlyBase_Scaffold
4701	FlyBase_Scaffold
4608	FlyBase_Scaffold
4581	FlyBase_Scaffold
4573	FlyBase_Scaffold
4553	FlyBase_Scaffold
4515	FlyBase_Scaffold
4471	FlyBase_Scaffold
4465	FlyBase_Scaffold
4452	FlyBase_Scaffold
4436	FlyBase_Scaffold
4400	FlyBase_Scaffold
4395	FlyBase_Scaffold
4381	FlyBase_Scaffold
4378	FlyBase_Scaffold
4377	FlyBase_Scaffold
4370	FlyBase_Scaffold
4361	FlyBase_Scaffold
4336	FlyBase_Scaffold
4310	FlyBase_Scaffold
4310	FlyBase_Scaffold
4305	FlyBase_Scaffold
4295	FlyBase_Scaffold
4289	FlyBase_Scaffold
4273	FlyBase_Scaffold
4272	FlyBase_Scaffold
4256	FlyBase_Scaffold
4231	FlyBase_Scaffold
4225	FlyBase_Scaffold
4222	FlyBase_Scaffold
4222	FlyBase_Scaffold
4202	FlyBase_Scaffold
4197	FlyBase_Scaffold
4188	FlyBase_Scaffold
4183	FlyBase_Scaffold
4182	FlyBase_Scaffold
4163	FlyBase_Scaffold
4150	FlyBase_Scaffold
4135	FlyBase_Scaffold
4085	FlyBase_Scaffold
4081	FlyBase_Scaffold
4072	FlyBase_Scaffold
4059	FlyBase_Scaffold
4030	FlyBase_Scaffold
4013	FlyBase_Scaffold
4012	FlyBase_Scaffold
4006	FlyBase_Scaffold
3991	FlyBase_Scaffold
3984	FlyBase_Scaffold
3970	FlyBase_Scaffold
3964	FlyBase_Scaffold
3960	FlyBase_Scaffold
3950	FlyBase_Scaffold
3941	FlyBase_Scaffold
3932	FlyBase_Scaffold
3926	FlyBase_Scaffold
3924	FlyBase_Scaffold
3921	FlyBase_Scaffold
3913	FlyBase_Scaffold
3913	FlyBase_Scaffold
3906	FlyBase_Scaffold
3871	FlyBase_Scaffold
3864	FlyBase_Scaffold
3858	FlyBase_Scaffold
3818	FlyBase_Scaffold
3807	FlyBase_Scaffold
3806	FlyBase_Scaffold
3806	FlyBase_Scaffold
3775	FlyBase_Scaffold
3755	FlyBase_Scaffold
3745	FlyBase_Scaffold
3737	FlyBase_Scaffold
3730	FlyBase_Scaffold
3717	FlyBase_Scaffold
3716	FlyBase_Scaffold
3713	FlyBase_Scaffold
3708	FlyBase_Scaffold
3681	FlyBase_Scaffold
3660	FlyBase_Scaffold
3650	FlyBase_Scaffold
3649	FlyBase_Scaffold
3648	FlyBase_Scaffold
3646	FlyBase_Scaffold
3638	FlyBase_Scaffold
3622	FlyBase_Scaffold
3622	FlyBase_Scaffold
3603	FlyBase_Scaffold
3603	FlyBase_Scaffold
3602	FlyBase_Scaffold
3593	FlyBase_Scaffold
3582	FlyBase_Scaffold
3574	FlyBase_Scaffold
3557	FlyBase_Scaffold
3554	FlyBase_Scaffold
3553	FlyBase_Scaffold
3553	FlyBase_Scaffold
3553	FlyBase_Scaffold
3537	FlyBase_Scaffold
3527	FlyBase_Scaffold
3527	FlyBase_Scaffold
3523	FlyBase_Scaffold
3519	FlyBase_Scaffold
3503	FlyBase_Scaffold
3502	FlyBase_Scaffold
3499	FlyBase_Scaffold
3498	FlyBase_Scaffold
3490	FlyBase_Scaffold
3478	FlyBase_Scaffold
3477	FlyBase_Scaffold
3473	FlyBase_Scaffold
3466	FlyBase_Scaffold
3463	FlyBase_Scaffold
3458	FlyBase_Scaffold
3434	FlyBase_Scaffold
3402	FlyBase_Scaffold
3396	FlyBase_Scaffold
3389	FlyBase_Scaffold
3386	FlyBase_Scaffold
3375	FlyBase_Scaffold
3374	FlyBase_Scaffold
3373	FlyBase_Scaffold
3365	FlyBase_Scaffold
3348	FlyBase_Scaffold
3347	FlyBase_Scaffold
3341	FlyBase_Scaffold
3313	FlyBase_Scaffold
3308	FlyBase_Scaffold
3302	FlyBase_Scaffold
3299	FlyBase_Scaffold
3290	FlyBase_Scaffold
3284	FlyBase_Scaffold
3277	FlyBase_Scaffold
3275	FlyBase_Scaffold
3268	FlyBase_Scaffold
3262	FlyBase_Scaffold
3259	FlyBase_Scaffold
3259	FlyBase_Scaffold
3254	FlyBase_Scaffold
3252	FlyBase_Scaffold
3234	FlyBase_Scaffold
3227	FlyBase_Scaffold
3223	FlyBase_Scaffold
3218	FlyBase_Scaffold
3213	FlyBase_Scaffold
3209	FlyBase_Scaffold
3206	FlyBase_Scaffold
3201	FlyBase_Scaffold
3201	FlyBase_Scaffold
3197	FlyBase_Scaffold
3196	FlyBase_Scaffold
3195	FlyBase_Scaffold
3190	FlyBase_Scaffold
3174	FlyBase_Scaffold
3173	FlyBase_Scaffold
3171	FlyBase_Scaffold
3162	FlyBase_Scaffold
3159	FlyBase_Scaffold
3157	FlyBase_Scaffold
3156	FlyBase_Scaffold
3154	FlyBase_Scaffold
3144	FlyBase_Scaffold
3129	FlyBase_Scaffold
3123	FlyBase_Scaffold
3123	FlyBase_Scaffold
3120	FlyBase_Scaffold
3102	FlyBase_Scaffold
3100	FlyBase_Scaffold
3100	FlyBase_Scaffold
3089	FlyBase_Scaffold
3085	FlyBase_Scaffold
3080	FlyBase_Scaffold
3080	FlyBase_Scaffold
3077	FlyBase_Scaffold
3076	FlyBase_Scaffold
3073	FlyBase_Scaffold
3073	FlyBase_Scaffold
3065	FlyBase_Scaffold
3059	FlyBase_Scaffold
3058	FlyBase_Scaffold
3046	FlyBase_Scaffold
3044	FlyBase_Scaffold
3043	FlyBase_Scaffold
3025	FlyBase_Scaffold
3024	FlyBase_Scaffold
3013	FlyBase_Scaffold
3010	FlyBase_Scaffold
3009	FlyBase_Scaffold
3002	FlyBase_Scaffold
2999	FlyBase_Scaffold
2999	FlyBase_Scaffold
2996	FlyBase_Scaffold
2991	FlyBase_Scaffold
2984	FlyBase_Scaffold
2982	FlyBase_Scaffold
2982	FlyBase_Scaffold
2971	FlyBase_Scaffold
2964	FlyBase_Scaffold
2957	FlyBase_Scaffold
2956	FlyBase_Scaffold
2945	FlyBase_Scaffold
2943	FlyBase_Scaffold
2937	FlyBase_Scaffold
2937	FlyBase_Scaffold
2928	FlyBase_Scaffold
2927	FlyBase_Scaffold
2926	FlyBase_Scaffold
2924	FlyBase_Scaffold
2922	FlyBase_Scaffold
2922	FlyBase_Scaffold
2919	FlyBase_Scaffold
2916	FlyBase_Scaffold
2914	FlyBase_Scaffold
2911	FlyBase_Scaffold
2910	FlyBase_Scaffold
2905	FlyBase_Scaffold
2904	FlyBase_Scaffold
2903	FlyBase_Scaffold
2899	FlyBase_Scaffold
2893	FlyBase_Scaffold
2889	FlyBase_Scaffold
2884	FlyBase_Scaffold
2882	FlyBase_Scaffold
2882	FlyBase_Scaffold
2882	FlyBase_Scaffold
2881	FlyBase_Scaffold
2877	FlyBase_Scaffold
2876	FlyBase_Scaffold
2871	FlyBase_Scaffold
2860	FlyBase_Scaffold
2860	FlyBase_Scaffold
2858	FlyBase_Scaffold
2855	FlyBase_Scaffold
2849	FlyBase_Scaffold
2848	FlyBase_Scaffold
2846	FlyBase_Scaffold
2844	FlyBase_Scaffold
2841	FlyBase_Scaffold
2836	FlyBase_Scaffold
2834	FlyBase_Scaffold
2833	FlyBase_Scaffold
2830	FlyBase_Scaffold
2829	FlyBase_Scaffold
2828	FlyBase_Scaffold
2825	FlyBase_Scaffold
2823	FlyBase_Scaffold
2822	FlyBase_Scaffold
2822	FlyBase_Scaffold
2820	FlyBase_Scaffold
2819	FlyBase_Scaffold
2815	FlyBase_Scaffold
2814	FlyBase_Scaffold
2811	FlyBase_Scaffold
2804	FlyBase_Scaffold
2799	FlyBase_Scaffold
2796	FlyBase_Scaffold
2795	FlyBase_Scaffold
2795	FlyBase_Scaffold
2794	FlyBase_Scaffold
2793	FlyBase_Scaffold
2793	FlyBase_Scaffold
2791	FlyBase_Scaffold
2790	FlyBase_Scaffold
2788	FlyBase_Scaffold
2787	FlyBase_Scaffold
2784	FlyBase_Scaffold
2783	FlyBase_Scaffold
2781	FlyBase_Scaffold
2765	FlyBase_Scaffold
2762	FlyBase_Scaffold
2751	FlyBase_Scaffold
2750	FlyBase_Scaffold
2745	FlyBase_Scaffold
2744	FlyBase_Scaffold
2736	FlyBase_Scaffold
2733	FlyBase_Scaffold
2728	FlyBase_Scaffold
2709	FlyBase_Scaffold
2708	FlyBase_Scaffold
2703	FlyBase_Scaffold
2698	FlyBase_Scaffold
2697	FlyBase_Scaffold
2694	FlyBase_Scaffold
2689	FlyBase_Scaffold
2688	FlyBase_Scaffold
2688	FlyBase_Scaffold
2686	FlyBase_Scaffold
2671	FlyBase_Scaffold
2670	FlyBase_Scaffold
2669	FlyBase_Scaffold
2668	FlyBase_Scaffold
2665	FlyBase_Scaffold
2664	FlyBase_Scaffold
2647	FlyBase_Scaffold
2644	FlyBase_Scaffold
2642	FlyBase_Scaffold
2641	FlyBase_Scaffold
2639	FlyBase_Scaffold
2637	FlyBase_Scaffold
2636	FlyBase_Scaffold
2635	FlyBase_Scaffold
2629	FlyBase_Scaffold
2628	FlyBase_Scaffold
2626	FlyBase_Scaffold
2618	FlyBase_Scaffold
2617	FlyBase_Scaffold
2612	FlyBase_Scaffold
2611	FlyBase_Scaffold
2605	FlyBase_Scaffold
2603	FlyBase_Scaffold
2603	FlyBase_Scaffold
2591	FlyBase_Scaffold
2588	FlyBase_Scaffold
2584	FlyBase_Scaffold
2583	FlyBase_Scaffold
2577	FlyBase_Scaffold
2577	FlyBase_Scaffold
2576	FlyBase_Scaffold
2575	FlyBase_Scaffold
2575	FlyBase_Scaffold
2575	FlyBase_Scaffold
2574	FlyBase_Scaffold
2570	FlyBase_Scaffold
2565	FlyBase_Scaffold
2561	FlyBase_Scaffold
2557	FlyBase_Scaffold
2556	FlyBase_Scaffold
2555	FlyBase_Scaffold
2549	FlyBase_Scaffold
2547	FlyBase_Scaffold
2541	FlyBase_Scaffold
2541	FlyBase_Scaffold
2536	FlyBase_Scaffold
2529	FlyBase_Scaffold
2529	FlyBase_Scaffold
2522	FlyBase_Scaffold
2521	FlyBase_Scaffold
2521	FlyBase_Scaffold
2520	FlyBase_Scaffold
2520	FlyBase_Scaffold
2517	FlyBase_Scaffold
2516	FlyBase_Scaffold
2511	FlyBase_Scaffold
2511	FlyBase_Scaffold
2510	FlyBase_Scaffold
2508	FlyBase_Scaffold
2505	FlyBase_Scaffold
2500	FlyBase_Scaffold
2491	FlyBase_Scaffold
2487	FlyBase_Scaffold
2479	FlyBase_Scaffold
2477	FlyBase_Scaffold
2476	FlyBase_Scaffold
2475	FlyBase_Scaffold
2473	FlyBase_Scaffold
2470	FlyBase_Scaffold
2464	FlyBase_Scaffold
2463	FlyBase_Scaffold
2462	FlyBase_Scaffold
2451	FlyBase_Scaffold
2447	FlyBase_Scaffold
2442	FlyBase_Scaffold
2439	FlyBase_Scaffold
2438	FlyBase_Scaffold
2438	FlyBase_Scaffold
2438	FlyBase_Scaffold
2435	FlyBase_Scaffold
2434	FlyBase_Scaffold
2432	FlyBase_Scaffold
2431	FlyBase_Scaffold
2429	FlyBase_Scaffold
2428	FlyBase_Scaffold
2425	FlyBase_Scaffold
2425	FlyBase_Scaffold
2421	FlyBase_Scaffold
2421	FlyBase_Scaffold
2420	FlyBase_Scaffold
2419	FlyBase_Scaffold
2417	FlyBase_Scaffold
2413	FlyBase_Scaffold
2412	FlyBase_Scaffold
2400	FlyBase_Scaffold
2394	FlyBase_Scaffold
2390	FlyBase_Scaffold
2390	FlyBase_Scaffold
2389	FlyBase_Scaffold
2385	FlyBase_Scaffold
2385	FlyBase_Scaffold
2385	FlyBase_Scaffold
2384	FlyBase_Scaffold
2383	FlyBase_Scaffold
2383	FlyBase_Scaffold
2382	FlyBase_Scaffold
2381	FlyBase_Scaffold
2381	FlyBase_Scaffold
