genome,MAG_ID,cluster,score
3300082281_5.fna,3300082281_5,104_0,69.53086600084899
3300054680_28.fna,3300054680_28,105_0,74.05388471334486
3300082281_55.fna,3300082281_55,106_0,95.87124856362585
3300051196_5.fna,3300051196_5,107_0,70.76156618
3300049571_95.fna,3300049571_95,108_0,84.11396610919861
3300056811_163.fna,3300056811_163,109_0,73.86726855214924
3300057032_13.fna,3300057032_13,110_1,83.36516274759094
3300082211_41.fna,3300082211_41,111_0,86.01041285282578
3300060291_198.fna,3300060291_198,112_1,85.51206790443483
3300045996_339.fna,3300045996_339,113_0,99.13935494672022
3300049259_1.fna,3300049259_1,114_0,86.61540973
3300056887_145.fna,3300056887_145,115_1,83.23703354402592
3300044800_10.fna,3300044800_10,116_1,78.31384458436006
3300044800_47.fna,3300044800_47,117_0,85.12935497717132
3300056902_1.fna,3300056902_1,118_1,70.49587562495734
3300056905_11.fna,3300056905_11,119_0,69.19971752493817
3300057025_99.fna,3300057025_99,120_1,70.14217810863386
3300056887_62.fna,3300056887_62,121_0,65.14767868086187
3300018090_18.fna,3300018090_18,122_1,83.78927977937315
3300046481_6.fna,3300046481_6,123_0,81.72678769965533
3300017988_24.fna,3300017988_24,124_0,88.55735649271578
3300057029_92.fna,3300057029_92,125_0,79.88941263900197
3300054984_92.fna,3300054984_92,126_0,98.39538818439738
3300056899_14.fna,3300056899_14,127_0,89.98628906771563
3300056905_132.fna,3300056905_132,128_1,99.79038952200321
3300031566_46.fna,3300031566_46,129_1,89.12702673672756
3300038424_14.fna,3300038424_14,130_1,90.63755098804205
3300037104_19.fna,3300037104_19,131_0,86.30880526287493
3300057034_146.fna,3300057034_146,132_1,95.50505924391685
3300031565_61.fna,3300031565_61,133_0,68.42825699944534
3300056904_84.fna,3300056904_84,134_1,73.71442093752695
3300056973_76.fna,3300056973_76,135_1,87.34052586131365
3300056887_44.fna,3300056887_44,136_0,73.42733022
3300056905_127.fna,3300056905_127,137_0,68.29823173700237
3300056899_66.fna,3300056899_66,138_1,92.75849935738799
3300056901_153.fna,3300056901_153,139_0,92.68980812
3300056899_12.fna,3300056899_12,140_0,70.12719672
3300057057_4.fna,3300057057_4,141_1,68.58467755310916
3300054984_58.fna,3300054984_58,142_0,83.25506776043851
3300057057_53.fna,3300057057_53,143_1,81.85196040888312
3300018019_17.fna,3300018019_17,144_1,81.46121291899044
3300036885_13.fna,3300036885_13,145_0,92.45813978717516
3300049718_33.fna,3300049718_33,146_0,87.26045374691209
3300038619_18.fna,3300038619_18,147_0,84.25784749426326
3300050014_5.fna,3300050014_5,148_0,87.98660794267954
3300032805_20.fna,3300032805_20,149_0,73.02876265
3300037104_21.fna,3300037104_21,150_0,63.61509564177595
3300044712_168.fna,3300044712_168,151_0,77.04802930926922
3300038427_21.fna,3300038427_21,152_1,99.02954985393578
3300036886_19.fna,3300036886_19,153_1,95.86800598982417
3300037089_14.fna,3300037089_14,153_2,101.6893733718087
3300082287_23.fna,3300082287_23,154_0,63.745185195183495
3300038427_29.fna,3300038427_29,155_1,98.00609869096657
3300044798_50.fna,3300044798_50,156_1,102.32852635514972
3300038429_25.fna,3300038429_25,157_1,86.17337235486191
3300052918_29.fna,3300052918_29,157_2,93.58268106
3300014839_38.fna,3300014839_38,158_1,81.94372034723965
3300037106_11.fna,3300037106_11,158_2,50.60876708
3300037062_11.fna,3300037062_11,159_1,96.62262859061555
3300034281_6.fna,3300034281_6,160_0,81.91455215033827
3300056902_132.fna,3300056902_132,161_0,94.16453186406297
3300082317_7.fna,3300082317_7,162_0,69.66761698812336
3300075492_32.fna,3300075492_32,163_0,82.30688089814622
3300056887_165.fna,3300056887_165,164_0,50.72684646939248
3300060291_38.fna,3300060291_38,165_0,60.92238899
3300031965_19.fna,3300031965_19,166_0,95.70289447456577
3300082281_57.fna,3300082281_57,167_0,82.60257670241954
3300056904_151.fna,3300056904_151,168_1,97.75953596
3300059599_72.fna,3300059599_72,169_0,72.03921192754603
3300038424_28.fna,3300038424_28,170_1,99.36545225432042
3300032897_28.fna,3300032897_28,171_0,63.23488027588124
3300032897_25.fna,3300032897_25,172_0,68.75834942305927
3300080692_32.fna,3300080692_32,173_1,91.97355092179232
3300075561_45.fna,3300075561_45,174_0,61.723221396908514
3300054965_35.fna,3300054965_35,175_0,69.81923852090667
3300078750_36.fna,3300078750_36,176_0,71.73287816
3300049140_27.fna,3300049140_27,177_1,88.87850637219388
3300049167_17.fna,3300049167_17,178_1,89.13842441128956
3300049782_18.fna,3300049782_18,178_2,73.17321162625382
3300046373_11.fna,3300046373_11,179_0,94.69387333465889
3300080649_18.fna,3300080649_18,180_1,100.27927386788168
3300056903_99.fna,3300056903_99,181_1,59.23963615600545
3300056973_140.fna,3300056973_140,182_0,28.629318474192242
3300077312_66.fna,3300077312_66,183_0,79.44039846736658
3300077806_42.fna,3300077806_42,184_0,79.22416181
3300075653_60.fna,3300075653_60,185_0,89.85192195943272
3300075653_81.fna,3300075653_81,186_0,77.46754052432954
3300077094_109.fna,3300077094_109,187_0,89.55495118
3300082212_101.fna,3300082212_101,188_0,82.23892807958148
3300056793_25.fna,3300056793_25,189_0,93.30035452479382
3300077806_34.fna,3300077806_34,190_0,75.29290186
3300077675_77.fna,3300077675_77,191_1,97.74067524314178
3300076293_54.fna,3300076293_54,191_2,70.15798255855147
3300042922_112.fna,3300042922_112,192_0,90.58076919508296
3300075655_13.fna,3300075655_13,193_0,93.78624888185145
3300054968_21.fna,3300054968_21,194_1,90.80231291988687
3300054988_39.fna,3300054988_39,195_0,87.27926512394784
3300014162_15.fna,3300014162_15,196_0,67.18730543151607
3300020582_11.fna,3300020582_11,197_0,77.36383936996847
3300054682_55.fna,3300054682_55,198_1,96.04303274708867
3300054988_65.fna,3300054988_65,199_0,99.73875435317258
3300056906_38.fna,3300056906_38,200_1,76.53725065314285
3300057040_23.fna,3300057040_23,201_0,69.60136675565674
