genome,MAG_ID,cluster,score
3300045996_424.fna,3300045996_424,387_0,66.71004350684872
3300057025_65.fna,3300057025_65,388_0,41.71781358310495
3300048762_23.fna,3300048762_23,389_0,81.58618518276292
3300049726_28.fna,3300049726_28,390_0,85.52398061106275
3300030673_4.fna,3300030673_4,391_1,75.34430756185915
3300014969_15.fna,3300014969_15,392_0,83.62870870749518
3300034631_4.fna,3300034631_4,393_0,96.91126589585882
3300066818_5.fna,3300066818_5,394_1,88.82808610317997
3300036793_6.fna,3300036793_6,395_0,52.54748984188038
3300060645_37.fna,3300060645_37,396_0,82.55093205
3300078539_43.fna,3300078539_43,397_0,69.52147126
3300080028_180.fna,3300080028_180,398_0,81.63809592162407
3300036852_12.fna,3300036852_12,399_0,96.61793085976566
3300077666_26.fna,3300077666_26,400_0,67.41042502318537
3300067405_2.fna,3300067405_2,401_1,92.47009746115029
3300067939_4.fna,3300067939_4,402_1,94.86232415189171
3300067938_4.fna,3300067938_4,403_1,75.14524735233222
3300067931_5.fna,3300067931_5,404_0,92.00251143
3300066815_1.fna,3300066815_1,405_1,80.02028427201535
3300042922_23.fna,3300042922_23,406_1,83.02006570602201
3300072949_19.fna,3300072949_19,407_1,82.33061861086642
3300022824_1.fna,3300022824_1,408_1,67.91381227102367
3300054704_41.fna,3300054704_41,409_0,75.7924
3300066758_6.fna,3300066758_6,410_1,98.05873829908779
3300042934_107.fna,3300042934_107,411_0,80.70027490676608
3300022895_8.fna,3300022895_8,412_1,76.9217281
3300067407_3.fna,3300067407_3,413_1,90.24787095431967
3300066818_8.fna,3300066818_8,414_1,92.62230941297238
3300067415_2.fna,3300067415_2,415_1,77.45454973
3300072949_9.fna,3300072949_9,416_0,53.36493597166068
3300051063_1.fna,3300051063_1,417_0,58.76039388808293
3300076293_25.fna,3300076293_25,418_0,65.46527537056755
3300029916_2.fna,3300029916_2,419_0,73.47545214033435
3300047320_17.fna,3300047320_17,420_0,73.42118104839238
3300080621_26.fna,3300080621_26,421_1,77.94556630406558
3300081702_87.fna,3300081702_87,422_0,95.22057074367311
3300081530_4.fna,3300081530_4,423_0,81.27380839606732
3300056897_101.fna,3300056897_101,424_0,66.81533612134486
3300057035_87.fna,3300057035_87,425_0,70.75376217043753
3300050014_43.fna,3300050014_43,426_0,84.29909477825841
3300075322_121.fna,3300075322_121,427_0,78.26122868728716
3300072949_16.fna,3300072949_16,428_1,77.66591228475575
3300042922_142.fna,3300042922_142,429_1,80.79919117379197
3300042922_67.fna,3300042922_67,430_0,56.834278795892125
3300042922_27.fna,3300042922_27,431_1,85.27410649505705
3300042923_56.fna,3300042923_56,432_1,68.73937039434969
3300042934_60.fna,3300042934_60,433_0,55.437813517091925
3300042922_62.fna,3300042922_62,434_0,76.86959835191605
3300077744_9.fna,3300077744_9,435_0,93.41569889782119
3300077675_46.fna,3300077675_46,436_0,86.00677594011906
3300042922_29.fna,3300042922_29,437_1,97.94582254018361
3300077675_99.fna,3300077675_99,438_0,77.49742784480864
3300077675_105.fna,3300077675_105,439_0,55.339187043075675
3300072118_36.fna,3300072118_36,440_0,70.27746801634534
3300056752_186.fna,3300056752_186,441_0,72.28779566212617
3300056809_363.fna,3300056809_363,442_0,76.47416409713308
3300045996_308.fna,3300045996_308,443_0,61.20384489196803
3300045996_377.fna,3300045996_377,444_0,84.73859717518059
3300014654_13.fna,3300014654_13,445_0,40.797090490520084
3300029995_5.fna,3300029995_5,446_0,69.61631118951266
