Length	Assembly
1962	<=100kb
1962	<=100kb
1961	<=100kb
1961	<=100kb
1961	<=100kb
1956	<=100kb
1956	<=100kb
1947	<=100kb
1947	<=100kb
1947	<=100kb
1946	<=100kb
1945	<=100kb
1944	<=100kb
1943	<=100kb
1939	<=100kb
1936	<=100kb
1936	<=100kb
1935	<=100kb
1933	<=100kb
1933	<=100kb
1931	<=100kb
1929	<=100kb
1928	<=100kb
1928	<=100kb
1927	<=100kb
1926	<=100kb
1926	<=100kb
1924	<=100kb
1920	<=100kb
1917	<=100kb
1916	<=100kb
1916	<=100kb
1907	<=100kb
1906	<=100kb
1905	<=100kb
1904	<=100kb
1903	<=100kb
1903	<=100kb
1903	<=100kb
1902	<=100kb
1901	<=100kb
1900	<=100kb
1900	<=100kb
1899	<=100kb
1895	<=100kb
1895	<=100kb
1893	<=100kb
1891	<=100kb
1890	<=100kb
1890	<=100kb
1888	<=100kb
1882	<=100kb
1872	<=100kb
1872	<=100kb
1871	<=100kb
1870	<=100kb
1870	<=100kb
1869	<=100kb
1869	<=100kb
1869	<=100kb
1868	<=100kb
1865	<=100kb
1863	<=100kb
1863	<=100kb
1856	<=100kb
1854	<=100kb
1851	<=100kb
1849	<=100kb
1843	<=100kb
1843	<=100kb
1843	<=100kb
1843	<=100kb
1842	<=100kb
1841	<=100kb
1841	<=100kb
1832	<=100kb
1832	<=100kb
1830	<=100kb
1829	<=100kb
1829	<=100kb
1826	<=100kb
1819	<=100kb
1818	<=100kb
1818	<=100kb
1813	<=100kb
1813	<=100kb
1806	<=100kb
1803	<=100kb
1802	<=100kb
1801	<=100kb
1800	<=100kb
1800	<=100kb
1798	<=100kb
1797	<=100kb
1793	<=100kb
1792	<=100kb
1787	<=100kb
1786	<=100kb
1785	<=100kb
1785	<=100kb
1776	<=100kb
1775	<=100kb
1775	<=100kb
1775	<=100kb
1770	<=100kb
1769	<=100kb
1766	<=100kb
1761	<=100kb
1756	<=100kb
1754	<=100kb
1751	<=100kb
1747	<=100kb
1747	<=100kb
1747	<=100kb
1743	<=100kb
1741	<=100kb
1738	<=100kb
1737	<=100kb
1734	<=100kb
1733	<=100kb
1732	<=100kb
1728	<=100kb
1724	<=100kb
1724	<=100kb
1719	<=100kb
